class_weight,dropout_rate,l2_alpha,number_of_hidden1_layers,number_of_hidden2_layers,sgd_learnrate,accuracy_tr,accuracy_val,log_accuracy_tr,log_accuracy_val
[ 0.50285418 88.09083192],0.2,0.0,50,0,0.001,0.9989457130432129,0.9988667488098144,6.854890610901405,6.782664617902887
[ 0.50285418 88.09083192],0.2,0.0,70,55,0.003,0.9990517497062683,0.9988667368888855,6.960892067633448,6.782654098729101
[ 0.50285418 88.09083192],0.1,0.0,75,0,0.002,0.9991163015365601,0.9988667249679566,7.031394658222022,6.782643579665968
[ 0.50285418 88.09083192],0.2,0.0,60,45,0.002,0.9991461634635925,0.9988628983497619,7.065770791855747,6.77927266606558
[ 0.50285418 88.09083192],0.2,0.0,50,45,0.002,0.9990488886833191,0.9988590478897095,6.95787945002826,6.775892180682836
[ 0.50285418 88.09083192],0.1,0.0,55,45,0.003,0.9992145299911499,0.9988590240478515,7.149228281964922,6.7758712844430935
[ 0.50285418 88.09083192],0.2,0.0,75,45,0.003,0.999085545539856,0.9988590121269226,6.997182888919446,6.775860836487014
[ 0.50285418 88.09083192],0.1,0.0,65,0,0.002,0.999079704284668,0.998855185508728,6.99081550985992,6.772512671458319
[ 0.50285418 88.09083192],0.1,0.0,65,0,0.003,0.9990614056587219,0.998855185508728,6.971127183518278,6.772512671458319
[ 0.50285418 88.09083192],0.2,0.0,75,0,0.001,0.9990498423576355,0.9988551735877991,6.958882647805041,6.7725022585338355
[ 0.50285418 88.09083192],0.2,0.0,75,50,0.002,0.999103844165802,0.9988513469696045,7.017396238016058,6.76916530100604
[ 0.50285418 88.09083192],0.1,0.0,50,0,0.002,0.9990247488021851,0.9988513231277466,6.9328154813650436,6.769144544859605
[ 0.50285418 88.09083192],0.1,0.0,50,0,0.001,0.9990315437316895,0.9988513112068176,6.939807230178467,6.769134166947895
[ 0.50285418 88.09083192],0.2,0.0,65,55,0.003,0.9990970492362976,0.9988474726676941,7.009842531280364,6.76579806770799
[ 0.50285418 88.09083192],0.2,0.0,50,60,0.002,0.9990960359573364,0.9988474607467651,7.008720974177806,6.765787724467498
[ 0.50285418 88.09083192],0.2,0.0,70,50,0.003,0.9990749359130859,0.9988474488258362,6.9856475397014774,6.765777381334084
[ 0.50285418 88.09083192],0.1,0.0,70,0,0.001,0.9991143941879272,0.9988436222076416,7.029238613726936,6.762462752124054
[ 0.50285418 88.09083192],0.1,0.0,70,0,0.002,0.9990970492362976,0.9988359093666077,7.009842531280364,6.755815068965034
[ 0.50285418 88.09083192],0.1,0.0,60,0,0.001,0.9990016222000122,0.9988320589065551,6.909378796185475,6.752512829542385
[ 0.50285418 88.09083192],0.2,0.0,50,55,0.002,0.9990402460098267,0.9988281965255738,6.948833566578761,6.749211285824488
[ 0.50285418 88.09083192],0.1,0.0,75,60,0.002,0.9992116689682007,0.9988281965255738,7.145592465204079,6.749211285824488
[ 0.50285418 88.09083192],0.1,0.0,50,0,0.003,0.9990411996841431,0.9988243460655213,6.949827725974673,6.745930746215069
[ 0.50285418 88.09083192],0.2,0.0,60,55,0.003,0.9990565180778503,0.9988127946853638,6.965933353752949,6.736153208947103
[ 0.50285418 88.09083192],0.2,0.0,65,0,0.003,0.9989833831787109,0.9988089442253113,6.8912750064731165,6.732915159572222
[ 0.50285418 88.09083192],0.2,0.0,50,50,0.003,0.9990218877792358,0.9988050818443298,6.929886149354551,6.729677584923063
[ 0.50285418 88.09083192],0.2,0.0,60,0,0.003,0.9989641308784485,0.9988050699234009,6.872514473673953,6.729667608616826
[ 0.50285418 88.09083192],0.2,0.0,50,0,0.002,0.9989496469497681,0.9988050580024719,6.858628933012012,6.729657632410024
[ 0.50285418 88.09083192],0.2,0.0,70,45,0.003,0.999090313911438,0.9988012194633484,7.002410975589109,6.726450458346287
[ 0.50285418 88.09083192],0.2,0.0,70,45,0.002,0.9991625547409058,0.9988012075424194,7.085154658676796,6.726440514182709
[ 0.50285418 88.09083192],0.2,0.0,50,55,0.003,0.9990479350090027,0.9987973570823669,6.956877257648731,6.723233712624009
[ 0.50285418 88.09083192],0.2,0.0,65,60,0.003,0.9991018176078796,0.998789644241333,7.015137401020533,6.716840947160268
[ 0.50285418 88.09083192],0.1,0.0,70,0,0.003,0.99908447265625,0.9987857937812805,6.996010326737024,6.71366473362113
[ 0.50285418 88.09083192],0.1,0.0,60,0,0.003,0.9990806579589844,0.998781931400299,6.991852316588361,6.71048878968686
[ 0.50285418 88.09083192],0.2,0.0,50,45,0.003,0.9989592432975769,0.9987472414970398,6.86780723191656,6.682407356711634
[ 0.50285418 88.09083192],0.2,0.0,50,0,0.003,0.9989226460456848,0.9986894249916076,6.833247286411722,6.637289300369945
