class_weight,dropout_rate,l2_alpha,number_of_hidden_layers,sgd_learnrate,accuracy_tr,accuracy_val,log_accuracy_tr,log_accuracy_val
[ 0.50283981 88.53395586],0.2,0.0,40,0.0008,0.9987171292304993,0.9987650394439698,-6.658654923674509,-6.6967162478493005
,0.1,0.0,50,0.002,0.9989069104194641,0.9987650275230407,-6.818747114741853,-6.6967065950134845
[ 0.50283981 88.53395586],0.2,0.0,60,0.001,0.9988014101982117,0.9987650275230407,-6.72660957841262,-6.6967065950134845
[ 0.50283981 88.53395586],0.2,0.0,50,0.001,0.9987727403640747,0.9987611889839172,-6.702971533416853,-6.693603217361329
[ 0.50283981 88.53395586],0.2,0.0,25,0.001,0.9986729621887207,0.9987573623657227,-6.6248060302329606,-6.690519034074061
[ 0.50283981 88.53395586],0.1,0.0,20,0.001,0.9987171292304993,0.9987573504447937,-6.658654923674509,-6.6905094408737575
[ 0.50283981 88.53395586],0.1,0.0,40,0.0008,0.9987611770629883,0.9987496972084046,-6.6935935945283065,-6.684369523725321
[ 0.50283981 88.53395586],0.1,0.0,45,0.0008,0.9987784624099731,0.998745858669281,-6.707644894079024,-6.6813041391993755
,0.1,0.0,55,0.001,0.9988454580307007,0.9987458467483521,-6.7640515770376455,-6.681294633992934
[ 0.50283981 88.53395586],0.1,0.0,50,0.0008,0.9987516403198242,0.9987420201301574,-6.685924845289006,-6.6782481225469
[ 0.50283981 88.53395586],0.1,0.0,55,0.0008,0.998832106590271,0.9987420201301574,-6.7525536575341,-6.6782481225469
,0.2,0.0,45,0.001,0.9987564086914062,0.9987420201301574,-6.689751868712308,-6.6782481225469
[ 0.50283981 88.53395586],0.2,0.0,40,0.001,0.9987640380859375,0.9987420201301574,-6.695905734286686,-6.6782481225469
,0.2,0.0,55,0.001,0.9987937808036804,0.9987343430519104,-6.720264442367028,-6.67216396505301
,0.1,0.0,55,0.0008,0.9988004565238953,0.9987266659736633,-6.725814231151923,-6.666116600788453
[ 0.50283981 88.53395586],0.2,0.0,55,0.001,0.9988196492195129,0.9987228393554688,-6.741943613081807,-6.66311591146373
,0.1,0.0,45,0.001,0.9987890124320984,0.9987228393554688,-6.716319080441077,-6.66311591146373
[ 0.50283981 88.53395586],0.1,0.0,20,0.0008,0.9987074732780457,0.9987189888954162,-6.651156277169221,-6.66010558742144
,0.1,0.0,25,0.001,0.9987257122993469,0.9987113356590271,-6.665367922638279,-6.654148991594508
[ 0.50283981 88.53395586],0.1,0.0,25,0.001,0.9987343549728394,0.9987113356590271,-6.672173383865169,-6.654148991594508
,0.2,0.0,55,0.0008,0.998742938041687,0.99870365858078,-6.678978059965867,-6.648209274990327
,0.2,0.0,25,0.0008,0.9986163973808289,0.9986998319625855,-6.583064587891241,-6.645261763318321
,0.1,0.0,20,0.002,0.9987257122993469,0.9986921429634095,-6.665367922638279,-6.63936533116344
,0.2,0.0,25,0.002,0.9986892938613892,0.9986883282661438,-6.637189249889881,-6.636452822619734
[ 0.50283981 88.53395586],0.2,0.0,25,0.0008,0.9986116290092468,0.9986691355705262,-6.579624168207333,-6.6219266008997275
[ 0.50283981 88.53395586],0.1,0.0,25,0.0008,0.9986845254898071,0.9986576437950134,-6.633557834187905,-6.613328847197575
[ 0.50283981 88.53395586],0.2,0.0,20,0.002,0.9986384510993958,0.9986576318740845,-6.599132329782818,-6.613319966636712
,0.2,0.0,20,0.001,0.9986078143119812,0.9986499667167663,-6.57688032940121,-6.607626032588534
,0.2,0.0,25,0.001,0.9986758232116699,0.9986499547958374,-6.626964304452052,-6.607617202527507
,0.1,0.0,20,0.001,0.9987419843673706,0.9986423015594482,-6.678219694207652,-6.601964335954279
[ 0.50283981 88.53395586],0.1,0.0,20,0.002,0.9986826181411743,0.9986423015594482,-6.63210895228996,-6.601964335954279
,0.2,0.0,20,0.002,0.9986154437065125,0.9986422896385193,-6.582375556383854,-6.601955555744904
,0.1,0.0,20,0.0008,0.9986835718154907,0.9986422896385193,-6.632833130831611,-6.601955555744904
[ 0.50283981 88.53395586],0.2,0.0,20,0.001,0.9986566305160522,0.9986116051673889,-6.612574280926393,-6.5796069958136565
[ 0.50283981 88.53395586],0.2,0.0,20,0.0008,0.9986297488212585,0.9985962629318237,-6.592761213800173,-6.56861726429506
,0.1,0.0,25,0.0008,0.9987026453018188,0.998584759235382,-6.64742793518268,-6.560455610687617
,0.2,0.0,20,0.0008,0.9986058473587036,0.9985694169998169,-6.575468473860463,-6.549673225358594
