class_weight,criterion,max_depth,accuracy_val,std_accuracy_val,log_accuracy_val
,gini,11.0,0.999285666826454,0.00012629494025833587,-7.244161074846232
balanced,gini,35.0,0.9992856657921794,0.00013594170722848312,-7.24415962695895
balanced,gini,40.0,0.9992856657921794,0.00013594170722848312,-7.24415962695895
balanced,gini,45.0,0.9992856657921794,0.00013594170722848312,-7.24415962695895
balanced,gini,50.0,0.9992856657921794,0.00013594170722848312,-7.24415962695895
balanced,gini,,0.9992856657921794,0.00013594170722848312,-7.24415962695895
,entropy,12.0,0.9992856657921791,0.00010869526809471041,-7.2441596269586395
balanced,entropy,17.0,0.9992808719283415,0.00012953357440242803,-7.237471091406625
balanced,gini,30.0,0.9992808715835834,0.00014302739881895564,-7.237470611995457
balanced,gini,29.0,0.9992808715835834,0.00014302739881895564,-7.237470611995457
,gini,17.0,0.9992760777197454,0.00011284377255127927,-7.230826519055321
balanced,gini,27.0,0.9992760773749874,0.0001449430606334549,-7.230826042819229
,gini,18.0,0.999271283626069,0.00011099496141033016,-7.224225963482827
,gini,20.0,0.999271283626069,0.00011099496141033016,-7.224225963482827
,gini,21.0,0.999271283626069,0.00011099496141033016,-7.224225963482827
,gini,25.0,0.999271283626069,0.00011099496141033016,-7.224225963482827
,gini,22.0,0.999271283626069,0.00011099496141033016,-7.224225963482827
,gini,23.0,0.999271283626069,0.00011099496141033016,-7.224225963482827
,gini,24.0,0.999271283626069,0.00011099496141033016,-7.224225963482827
,gini,19.0,0.999271283626069,0.00011099496141033016,-7.224225963482827
,gini,26.0,0.999271283626069,0.00011099496141033016,-7.224225963482827
,gini,35.0,0.999271283626069,0.00011099496141033016,-7.224225963482827
,gini,,0.999271283626069,0.00011099496141033016,-7.224225963482827
,gini,50.0,0.999271283626069,0.00011099496141033016,-7.224225963482827
,gini,27.0,0.999271283626069,0.00011099496141033016,-7.224225963482827
,gini,40.0,0.999271283626069,0.00011099496141033016,-7.224225963482827
,gini,45.0,0.999271283626069,0.00011099496141033016,-7.224225963482827
,gini,30.0,0.999271283626069,0.00011099496141033016,-7.224225963482827
,gini,29.0,0.999271283626069,0.00011099496141033016,-7.224225963482827
,gini,28.0,0.999271283626069,0.00011099496141033016,-7.224225963482827
balanced,gini,26.0,0.999271283051472,0.00013355436597242034,-7.224225174977408
balanced,gini,28.0,0.9992664889577952,0.00011995427601664277,-7.217667906363999
,gini,10.0,0.999256901574878,0.00010612168376373595,-7.204682052138326
balanced,gini,25.0,0.9992521063320071,0.0001433490140931561,-7.198249745184518
balanced,gini,24.0,0.9992473120084917,0.0001282880927210767,-7.191859769939329
,entropy,11.0,0.9992089596038373,8.57591624329591e-05,-7.142161521762665
,entropy,10.0,0.9991993710717259,7.207197942178785e-05,-7.130112978815836
balanced,gini,23.0,0.9991801933179862,0.00013164892497484278,-7.106441999141993
