C,class_weight,degree,gamma,kernel,accuracy_val,std_accuracy_val,log_accuracy_val
0.8,,4,1,linear,0.9983124473080787,0.00010994302542859916,-6.384475910862802
0.8,,3,auto,linear,0.9983124473080787,0.00010994302542859916,-6.384475910862802
0.8,,3,3,linear,0.9983124473080787,0.00010994302542859916,-6.384475910862802
0.8,,3,1,linear,0.9983124473080787,0.00010994302542859916,-6.384475910862802
0.1,,3,1,linear,0.9981686211651176,7.04583846308478e-05,-6.302686134154201
0.1,,5,1,linear,0.9981686211651176,7.04583846308478e-05,-6.302686134154201
0.1,,4,1,linear,0.9981686211651176,7.04583846308478e-05,-6.302686134154201
0.1,,4,3,linear,0.9981686211651176,7.04583846308478e-05,-6.302686134154201
0.1,,4,auto,linear,0.9981686211651176,7.04583846308478e-05,-6.302686134154201
0.1,,3,auto,linear,0.9981686211651176,7.04583846308478e-05,-6.302686134154201
0.1,,5,2,linear,0.9981686211651176,7.04583846308478e-05,-6.302686134154201
0.1,,5,3,linear,0.9981686211651176,7.04583846308478e-05,-6.302686134154201
0.1,,5,auto,linear,0.9981686211651176,7.04583846308478e-05,-6.302686134154201
0.1,,3,3,linear,0.9981686211651176,7.04583846308478e-05,-6.302686134154201
0.1,,3,2,linear,0.9981686211651176,7.04583846308478e-05,-6.302686134154201
0.1,,4,2,linear,0.9981686211651176,7.04583846308478e-05,-6.302686134154201
1.0,,3,auto,poly,0.9975981129853386,8.4954244398419e-05,-6.03150059445674
0.8,,3,auto,poly,0.9974590813957318,7.271565743954368e-05,-5.975229608109481
0.5,,3,auto,poly,0.9971810182165182,0.0001057066323973777,-5.871379528920763
1.0,,4,auto,poly,0.9971570472884576,0.0001130611937054466,-5.862912079746563
0.8,,4,auto,poly,0.9970851345042757,0.00010351003271189934,-5.837931602362861
0.5,,4,auto,poly,0.9965050379073045,9.990222134291433e-05,-5.656432749508114
1.0,,5,auto,poly,0.9965002438136278,7.880626074633426e-05,-5.655061973949722
0.8,,5,auto,poly,0.996174239008132,0.00010240736600762938,-5.565997879369623
0.5,,5,auto,poly,0.9956085256115459,4.8923987171512224e-05,-5.428090256696496
0.1,,3,auto,poly,0.9944147739917064,3.386200328148744e-05,-5.187630380262089
0.1,,4,auto,poly,0.9943524493948775,1.1721325178391406e-05,-5.176533349038543
0.1,,5,auto,poly,0.9943524493948775,1.1721325178391406e-05,-5.176533349038543
